DATE,PER,OIL,PMI,INCOME,CORP_PROFIT,POPULATION,UNEMPLOYMENT,,,,
01/11/2015,23.67,42.44,48.4,38742,1423.4,322063,5,,,,
01/12/2015,23.74,37.19,48,38898,1423.4,322231,5,,,,
01/01/2016,22.18,31.68,48.2,38915,1550.5,322391,4.9,,,,
01/02/2016,22.02,30.32,49.7,38898,1550.5,322547,4.9,,,,
01/03/2016,23.39,37.55,51.7,38970,1550.5,322709,5,,,,
01/04/2016,23.97,40.75,50.7,39080,1636.7,322879,5,,,,
01/05/2016,23.81,46.71,51,39147,1636.7,323061,4.7,,,,
01/06/2016,23.97,48.76,52.8,39216,1636.7,323252,4.9,,,,
01/07/2016,24.52,44.65,52.3,39336,1679.4,323458,4.9,,,,
01/08/2016,24.57,44.72,49.4,39338,1679.4,323676,4.9,,,,
01/09/2016,24.22,45.18,51.7,39388,1679.4,323892,4.9,,,,
01/10/2016,23.57,49.78,52,39450,,324098,4.8,,,,
01/11/2016,23.35,45.66,53.5,39477,,324280,4.6,,,,
01/12/2016,23.76,51.97,54.5,39504,,324447,4.7,,,,
01/01/2017,24.06,52.5,56,39431,,324608,4.8,,,,
01/02/2017,24.64,53.47,57.7,39479,,324763,4.7,,,,
01/03/2017,24.81,49.33,57.2,39647,,324925,4.5,,,,
,,,,,,,,,,,
