16.92,60.56,50.7,35970,1270.8,300823,4.4,,,,
17.48,63.97,52.6,35936,1341.7,301045,4.5,,,,
17.92,63.46,52.5,35891,1341.7,301278,4.4,,,,
17.83,67.48,52.6,35820,1341.7,301528,4.6,,,,
18.36,74.18,52.4,35870,1285.3,301790,4.7,,,,
18.02,72.39,50.9,35859,1285.3,302064,4.6,,,,
19.05,79.93,51,35918,1285.3,302334,4.7,,,,
20.68,86.2,51.1,35822,1313.7,302590,4.7,,,,
20.81,94.62,50.5,35759,1313.7,302834,4.7,,,,
22.35,91.73,49,35883,1313.7,303062,5,,,,
21.46,92.95,50.3,35961,1203.5,303280,5,,,,
21.74,95.35,47.6,35999,1203.5,303494,4.9,,,,
21.81,105.56,48.3,36049,1203.5,303707,5.1,,,,
23.88,112.57,48.8,35887,1229.6,303926,5,,,,
25.81,125.39,48.8,37585,1229.6,304157,5.4,,,,
26.11,133.93,49.8,36564,1229.6,304396,5.6,,,,
25.37,133.44,50,35958,1188.8,304646,5.8,,,,
26.83,116.61,49.2,35640,1188.8,304903,6.1,,,,
26.48,103.9,44.8,35650,1188.8,305158,6.1,,,,
27.22,76.65,38.9,35799,671.4,305403,6.5,,,,
34.99,57.44,36.5,36022,671.4,305620,6.8,,,,
58.98,41.02,33.1,35867,671.4,305827,7.3,,,,
70.91,41.74,34.9,35993,1044.3,306035,7.8,,,,
84.46,39.16,35.5,35646,1044.3,306237,8.3,,,,
110.37,47.98,36,35624,1044.3,306438,8.7,,,,
119.85,49.79,39.5,35795,1120.6,306645,9,,,,
123.73,59.16,41.7,36326,1120.6,306863,9.4,,,,
123.32,69.68,45.8,35683,1120.6,307090,9.5,,,,
101.87,64.09,49.9,35531,1273.2,307322,9.5,,,,
92.95,71.06,53.5,35415,1273.2,307570,9.6,,,,
83.3,69.46,54.4,35433,1273.2,307826,9.8,,,,
42.12,75.82,56,35260,1374.4,308071,10,,,,
28.51,78.08,54.4,35317,1374.4,308289,9.9,,,,
21.78,74.3,55.3,35416,1374.4,308495,9.9,,,,
20.7,78.22,57.2,35331,1450.2,308706,9.8,,,,
18.91,76.42,55.8,35246,1450.2,308904,9.8,,,,
18.91,81.24,58.8,35303,1450.2,309095,9.9,,,,
19.01,84.48,58.1,35544,1436.8,309284,9.9,,,,
17.3,73.84,58.3,35761,1436.8,309470,9.6,,,,
16.15,75.35,56.4,35752,1436.8,309666,9.4,,,,
15.72,76.37,56.4,35758,1499.1,309876,9.4,,,,
15.47,76.82,58,35843,1499.1,310097,9.5,,,,
15.61,75.31,56.3,35773,1499.1,310323,9.5,,,,
15.9,81.9,57.7,35836,1494.5,310538,9.4,,,,
15.88,84.14,57.6,35918,1494.5,310734,9.8,,,,
16.05,89.04,57.5,36148,1494.5,310921,9.3,,,,
16.3,89.42,59,36315,1350.2,311092,9.1,,,,
16.52,89.58,59.3,36398,1350.2,311250,9,,,,
16.04,102.94,59.1,36326,1350.2,311416,9,,,,
16.21,110.04,58.9,36210,1423.1,311592,9.1,,,,
16.12,101.33,53.7,36171,1423.1,311775,9,,,,
15.35,96.29,56.6,36304,1423.1,311975,9.1,,,,
15.61,97.19,52.9,36424,1430.4,312186,9,,,,
13.79,86.33,53,36374,1430.4,312406,9,,,,
13.5,85.61,52.8,36244,1430.4,312629,9,,,,
13.88,86.41,51.8,36252,1507.1,312832,8.8,,,,
14.1,97.21,52.1,36194,1507.1,313018,8.6,,,,
14.3,98.57,53.1,36450,1507.1,313199,8.5,,,,
14.87,100.24,52.8,36683,1727.4,313367,8.3,,,,
15.37,102.25,52.4,36868,1727.4,313528,8.3,,,,
15.69,106.19,53,36943,1727.4,313696,8.2,,,,
15.7,103.33,53.7,37022,1654.8,313865,8.2,,,,
15.22,94.7,53.2,37040,1654.8,314043,8.2,,,,
15.05,82.41,51,37099,1654.8,314237,8.2,,,,
15.55,87.93,50.6,36975,1686.6,314442,8.2,,,,
16.14,94.16,51.1,36883,1686.6,314662,8.1,,,,
16.69,94.72,52.2,37031,1686.6,314879,7.8,,,,
16.62,89.57,51.2,37225,1663.9,315085,7.8,,,,
16.12,86.66,49.5,37696,1663.9,315276,7.7,,,,
16.44,88.25,50.4,38659,1663.9,315446,7.9,,,,
17.03,94.69,52.3,36235,1679.5,315592,8,,,,
17.32,95.32,53.1,36211,1679.5,315730,7.7,,,,
